organization,url,archived_url,depth,environmental,environment,chemical,chemicals,contaminant,contaminants,contamination,pollution,pollutants,pollutant,endocrine disruptor,endocrine disruptors,endocrine disrupting chemical,endocrine disrupting chemicals,prevention,toxic,toxics,toxin,toxins,pfoa,pfos,pfas,pfcs,pfc,perfluorinated chemicals,precautionary principle,hormone disrupting chemical,hormone disrupting chemicals,pesticide,pesticides,flame retardant,flame retardants,bpa,phthalates,phthalate,paraben,parabens,bisphenol,bisphenols,lead,oxybenzone,diet,exercise,genetics,family history,obese,overweight,pregnancy history,alcohol,dense breasts,physically active,oral contraceptives,birth control,des,diethylstilbestrol,hormone therapy,hrt,pah,pahs,air pollution,physical activity,breast density,black,african american,african americans,african-american,african-americans,latina,latinas,hispanic,latino,asian,disparity,disparities,brac1,brac2,native-american,native-americans,native americans,native american,ethnicity
NCI,https://training.seer.cancer.gov/breast/,https://web.archive.org/web/20190508012659/https://training.seer.cancer.gov/breast/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://trp.cancer.gov/spores/breast.htm,https://web.archive.org/web/20190508012700/https://trp.cancer.gov/spores/breast.htm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,https://www.cancer.org/cancer/breast-cancer,https://web.archive.org/web/20190508012701/https://www.cancer.org/cancer/breast-cancer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/breast/,https://web.archive.org/web/20190508012820/https://cisnet.cancer.gov/breast/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/types/breast,https://web.archive.org/web/20190508012822/https://www.cancer.gov/types/breast,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/types/breast/hp,https://web.archive.org/web/20190508012823/https://www.cancer.gov/types/breast/hp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://gis.cancer.gov/mapstory/breast/,https://web.archive.org/web/20190508012825/https://gis.cancer.gov/mapstory/breast/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,https://www.cancer.gov/types/breast/research,https://web.archive.org/web/20190508012833/https://www.cancer.gov/types/breast/research,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/breast/abstract.html,https://web.archive.org/web/20190508012834/https://cisnet.cancer.gov/breast/abstract.html,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NCI,https://cisnet.cancer.gov/breast/landmark.html,https://web.archive.org/web/20190508012835/https://cisnet.cancer.gov/breast/landmark.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
